dir,image_size,repo_id,transform,distance_metric,file,distance
example_images\KD2-1.png,512,CompVis/stable-diffusion-v1-1,clean,lpips_vgg_2,KD2-1.png,-0.03192138671875
example_images\KD2-1.png,512,runwayml/stable-diffusion-v1-5,clean,lpips_vgg_2,KD2-1.png,-0.03192138671875
example_images\KD2-1.png,512,max,clean,lpips_vgg_2,KD2-1.png,-0.03192138671875
example_images\MJ4.png,1024,CompVis/stable-diffusion-v1-1,clean,lpips_vgg_2,MJ4.png,-0.01309967041015625
example_images\MJ4.png,1024,runwayml/stable-diffusion-v1-5,clean,lpips_vgg_2,MJ4.png,-0.01309967041015625
example_images\MJ4.png,1024,max,clean,lpips_vgg_2,MJ4.png,-0.01309967041015625
example_images\MJ5-1.png,1024,CompVis/stable-diffusion-v1-1,clean,lpips_vgg_2,MJ5-1.png,-0.025482177734375
example_images\MJ5-1.png,1024,runwayml/stable-diffusion-v1-5,clean,lpips_vgg_2,MJ5-1.png,-0.025482177734375
example_images\MJ5-1.png,1024,max,clean,lpips_vgg_2,MJ5-1.png,-0.025482177734375
example_images\MJ5.png,1024,CompVis/stable-diffusion-v1-1,clean,lpips_vgg_2,MJ5.png,-0.0188446044921875
example_images\MJ5.png,1024,runwayml/stable-diffusion-v1-5,clean,lpips_vgg_2,MJ5.png,-0.0188446044921875
example_images\MJ5.png,1024,max,clean,lpips_vgg_2,MJ5.png,-0.0188446044921875
example_images\SD1-1.png,512,CompVis/stable-diffusion-v1-1,clean,lpips_vgg_2,SD1-1.png,-0.015106201171875
example_images\SD1-1.png,512,runwayml/stable-diffusion-v1-5,clean,lpips_vgg_2,SD1-1.png,-0.015106201171875
example_images\SD1-1.png,512,max,clean,lpips_vgg_2,SD1-1.png,-0.015106201171875
example_images\SD1-5.png,512,CompVis/stable-diffusion-v1-1,clean,lpips_vgg_2,SD1-5.png,-0.01369476318359375
example_images\SD1-5.png,512,runwayml/stable-diffusion-v1-5,clean,lpips_vgg_2,SD1-5.png,-0.01369476318359375
example_images\SD1-5.png,512,max,clean,lpips_vgg_2,SD1-5.png,-0.01369476318359375
example_images\SD2-1.png,512,CompVis/stable-diffusion-v1-1,clean,lpips_vgg_2,SD2-1.png,-0.0271453857421875
example_images\SD2-1.png,512,runwayml/stable-diffusion-v1-5,clean,lpips_vgg_2,SD2-1.png,-0.0271453857421875
example_images\SD2-1.png,512,max,clean,lpips_vgg_2,SD2-1.png,-0.0271453857421875
example_images\real.png,512,CompVis/stable-diffusion-v1-1,clean,lpips_vgg_2,real.png,-0.04718017578125
example_images\real.png,512,runwayml/stable-diffusion-v1-5,clean,lpips_vgg_2,real.png,-0.04718017578125
example_images\real.png,512,max,clean,lpips_vgg_2,real.png,-0.04718017578125
