name,iou_fixed,iou_otsu,iou_adaptive,f1_fixed,f1_otsu,f1_adaptive,pr_auc,iou_topk,f1_topk
0000,0.10728020392031476,0.2315059626798428,0.20756104112765267,0.19377245893223818,0.37597213443623073,0.343769025429682,0.21026652215256603,0.23144020967930418,0.3758854191379322
0001,0.05123530692207227,0.15428141734835046,0.1703505772768974,0.09747638151934775,0.2673202826097128,0.291110340071364,0.13499208003991978,0.16119894812025193,0.2776422565335607
0002,0.11844222393031002,0.1705150421609261,0.15605699838634227,0.21179855587728622,0.29135045004826715,0.26998149503730545,0.1723637682067634,0.16904999120904882,0.28920917408196517
0003,0.12549602644048216,0.15681418387186372,0.1429775492017136,0.2230057210195199,0.27111386782448627,0.2501843527925338,0.17186903243550206,0.15428492455366677,0.26732554722279667
0004,0.008490601015905973,0.10304405018104405,0.14337093259307016,0.016838235294117647,0.1868357844170073,0.2507863870002656,0.10391342461617853,0.140300848946375,0.24607689992691212
0005,0.13464553759956516,0.16552201171472583,0.15671027752197345,0.2373349793177149,0.28403069191496166,0.2709585633797509,0.18180617428630133,0.16605912647983412,0.28482110848211084
0006,0.10916519525315156,0.15293281777316264,0.15157221167127072,0.19684208577827964,0.26529354601692307,0.2632439548906703,0.15517909848558958,0.1568418865572408,0.2711552691509156
0007,0.07802453552128122,0.15113977367222242,0.15252152521525214,0.14475465622598704,0.2625915238600004,0.2646744930629669,0.14026665757053175,0.1568135629700454,0.27111293987154944
0008,0.15431627994442065,0.18688684601057737,0.16088662925201544,0.26737261290614533,0.31491939882685643,0.2771788824127955,0.20976273700036002,0.17906687716233918,0.3037433764457866
0009,0.034780236321216226,0.14864145856980704,0.15273976471554818,0.06722245961106615,0.25881263027869994,0.265003029115142,0.12392987314433451,0.15977445164279627,0.27552676542663807
0010,0.11422286073448865,0.20373235003147766,0.20004552485501886,0.20502695602420803,0.3385010796231405,0.33339655989998707,0.20475533798051646,0.21565211647856275,0.3547924830719704
0011,0.10425849902570991,0.18342482700874482,0.17792252314021254,0.18882987836217235,0.3099898241485674,0.3020954598370198,0.18503289795675454,0.19037412314886984,0.31985595023735475
0012,0.0675886843286933,0.1846013440637186,0.1828891363395115,0.1266193344325179,0.31166830088247655,0.3092244754321911,0.16357037803275373,0.19624591025094823,0.328102957041299
0013,0.11383830048552074,0.17535136435631654,0.1758925792539238,0.20440722937234024,0.2983811814475547,0.29916436646878664,0.18231606963142757,0.18932359502947665,0.31837188099305197
0014,0.06342376760063925,0.15293574464401288,0.1597136460921548,0.11928220815252187,0.26529794978511,0.2754363486716503,0.13314596895714426,0.15546692384392827,0.2690980081484835
0015,0.11181199062186,0.17919498503334516,0.1879611107526188,0.20113470904252648,0.3039276579492541,0.3164432051711495,0.18560735917696344,0.18805655478488426,0.316578455844528
0016,0.09308255993629547,0.1678836965443943,0.1695398512725107,0.17031203926942223,0.28750071097171553,0.28992573632791374,0.16680547973819027,0.18241005943610206,0.3085394241708235
0017,0.10949732395844265,0.15678493214831352,0.14369995078960318,0.19738186220725662,0.27107014932696555,0.2512895986231243,0.16003307476512527,0.1567488262910798,0.27101618385672976
0018,0.07267802960881341,0.14328470794349885,0.14119628209925864,0.13550763155896423,0.25065446419069914,0.24745310568226636,0.12750052613188656,0.14206343945244526,0.24878379702016665
0019,0.14170525382649451,0.2130461384431404,0.19157781730536463,0.24823439035873884,0.3512580959477274,0.3215531785219012,0.22692365779691423,0.21284874816886404,0.3509897643712277
0020,0.07169156587614618,0.1423107082938216,0.14258519850044277,0.1337914156626506,0.24916287181861357,0.24958348609377248,0.1295676600903913,0.14811094832344848,0.25800807585665897
0021,0.10131413209001523,0.19111458967914244,0.18102516672345811,0.18398770911573917,0.32090042609691166,0.3065559851288857,0.17986270083970723,0.1885779388917659,0.31731690909154286
0022,0.03871601460422188,0.13385955313967032,0.15672621837227627,0.07454590871783892,0.23611311077992272,0.2709823913091872,0.12301387918574229,0.14923532213352655,0.25971238311136297
0023,0.115001894061885,0.20919987998914188,0.1919239237363564,0.20628107391448458,0.3460137293282239,0.32204055966043077,0.19945742186856855,0.21129955259598376,0.34888075727121237
0024,0.10225335932276806,0.18753678765718362,0.1785369502696528,0.1855351284855112,0.31584164736010095,0.3029806578890938,0.1787282107343484,0.19433805786966615,0.32543224523265346
0025,0.09993377072252002,0.14438745874290243,0.14504879175840604,0.1817087053466427,0.2523401626604866,0.25334953899328666,0.14284278897900707,0.14910251031251168,0.25951124286024146
0026,0.24038395946011792,0.25942422997567494,0.2226948976617905,0.38759604657374963,0.41197274723019356,0.3642689571824648,0.33572941087538266,0.24670589418628042,0.3957724036386373
0027,0.03814479597897293,0.13367514094245292,0.16831871510390425,0.07348646571599352,0.23582618355964902,0.28813835287905126,0.12917209761241039,0.154884432632681,0.268224989888565
0028,0.05590847508655728,0.13207872614703053,0.13935786397165095,0.10589644160583941,0.23333841206707137,0.24462527249492597,0.11769280050420175,0.14320619933791867,0.2505343295388981
0029,0.0866308088309915,0.1954262147375461,0.17913709503721953,0.15944846791927392,0.32695654876608443,0.30384438890299703,0.175607820519349,0.2005124359455068,0.3340447461297409
0030,0.017048742846119222,0.1691697105344172,0.19124441743592713,0.033525911055963455,0.2893843537172909,0.32108342274135104,0.14737062976428053,0.18858090499881544,0.31732110823201115
0031,0.036647156069880706,0.14881722417298096,0.16395536149558065,0.07070323948761272,0.25907902674441985,0.28172104690494726,0.1344601566334146,0.18008851745623577,0.30521187994342885
0032,0.12278298335145989,0.161741101351113,0.15362292982934866,0.21871187072137102,0.2784460344271318,0.2663312697019182,0.16763319781084804,0.16080257103572787,0.2770541262537893
0033,0.07369902646909332,0.1439297542662732,0.1531653070077982,0.1372806059281917,0.25164089618176083,0.2656432795489267,0.13492515836907895,0.15388260502297216,0.2667214227047102
0034,0.0925299913427052,0.152485004885392,0.1456623209399646,0.16938663849216082,0.2646195034885608,0.2542849114919921,0.1462866634904304,0.1531300723110753,0.26559028506502436
0035,0.11213322147974582,0.17725480951819694,0.17725220038250109,0.20165429701047374,0.3011324448795248,0.3011286796914205,0.18342966666099983,0.18237697268824785,0.30849209161033686
0036,0.15532878592971341,0.16239791661399205,0.15224047344262986,0.2688910513118006,0.2794188019315265,0.2642512165672679,0.19362566333949827,0.165154829987675,0.2834899289554883
0037,0.07406922526913665,0.14838327812198684,0.14722738954182302,0.13792262831211205,0.25842117514049145,0.25666644796655763,0.13388788308086516,0.15380802425938886,0.26660938566121656
0038,0.09908769656038315,0.1544524039186823,0.15204440035391587,0.18030899057551106,0.2675769107403785,0.26395579945912984,0.15291207209486032,0.16096399385535096,0.2772936881889312
0039,0.06415083094100468,0.1330319388214125,0.14156369379174938,0.12056717727557012,0.23482469339706916,0.24801716200616,0.12410814615147461,0.14132984370756277,0.24765819361817198
0040,0.093286544663249,0.1528093451028067,0.15923542626508777,0.17065342131688424,0.2651077487391105,0.27472491377894565,0.15156043008474496,0.16187194189444873,0.2786399017959143
0041,0.09218246502877792,0.17914315748825435,0.17099031596804976,0.16880414762262091,0.3038531095237922,0.29204394543039963,0.16614173005986071,0.1854107853036329,0.3128211546618272
0042,0.07609280055185287,0.1280573478027768,0.1420290170909903,0.14142423499688908,0.22704049231576057,0.24873101289977864,0.12639536535573698,0.14090261870859902,0.24700200770524716
0043,0.12474716004409721,0.18918034480976903,0.18445647078008112,0.22182258284467476,0.3181693098703744,0.31146179759328496,0.1947585602547708,0.19189638241716353,0.32200178681304165
0044,0.06627079288949793,0.14664944622017395,0.16277645457638654,0.12430386977009852,0.25578775920328667,0.27997893135131974,0.13839060250354376,0.16019963851462374,0.2761587457822751
0045,0.059496269590906814,0.13851126858985077,0.13647619921122628,0.11231048432832999,0.24331997831063984,0.2401743200710193,0.11837128770669245,0.14374402067448863,0.2513569786178553
0046,0.11817655466898261,0.19672983254842744,0.19460832556150393,0.21137369438758585,0.328779022963759,0.32581109874658176,0.20305443727206188,0.21061019098837927,0.3479405551946175
0047,0.009130807202211174,0.1239747095010253,0.15331054372378186,0.018096379848963482,0.22060053211706576,0.26586168757076717,0.1137212438518361,0.15260352271114985,0.2647979460486055
0048,0.14197988353626256,0.2035737107424325,0.18750821758589678,0.24865566475060263,0.338282082643458,0.31580112846222663,0.21496644834649026,0.1999676159080624,0.3332883542140245
0049,0.014919283800198429,0.13268829327155982,0.1456639112206643,0.029399941529016226,0.23428915803184355,0.254287334695678,0.11032634741707421,0.1508602782999272,0.262169580694506
